team,type,line,american,decimal,impliedProb,n,successes,fails,ties,successRate,failRate,tieRate,ev
CLE Browns,UNDER,6.5,330,4.3,0.23255813953488372,100000,14206,85794,0,0.14206,0.85794,0,-0.3891420000000001
CLE Browns,OVER,7.5,-270,1.37037038,0.7297297246018992,100000,73915,26085,0,0.73915,0.26085,0,0.012909266376999962
CLE Browns,UNDER,7.5,200,3,0.3333333333333333,100000,26085,73915,0,0.26085,0.73915,0,-0.21744999999999992
CLE Browns,OVER,8.5,-150,1.66666667,0.5999999988,100000,58058,41942,0,0.58058,0.41942,0,-0.0323666647314001
CLE Browns,UNDER,8.5,125,2.25,0.4444444444444444,100000,41942,58058,0,0.41942,0.58058,0,-0.05630499999999994
CLE Browns,OVER,9.5,115,2.15,0.46511627906976744,100000,41048,58952,0,0.41048,0.58952,0,-0.11746800000000007
CLE Browns,UNDER,9.5,-135,1.74074075,0.5744680820507017,100000,58952,41048,0,0.58952,0.41048,0,0.026201486940000074
CLE Browns,OVER,10.5,210,3.1,0.3225806451612903,100000,25357,74643,0,0.25357,0.74643,0,-0.21393299999999993
CLE Browns,UNDER,10.5,-280,1.35714286,0.7368421037119114,100000,74643,25357,0,0.74643,0.25357,0,0.013012144989799967
CLE Browns,OVER,11.5,350,4.5,0.2222222222222222,100000,13268,86732,0,0.13268,0.86732,0,-0.40294
CLE Browns,UNDER,11.5,-525,1.1904762,0.8399999932800001,100000,86732,13268,0,0.86732,0.13268,0,0.032523817783999986
CLE Browns,OVER,12.5,600,7,0.14285714285714285,100000,5784,94216,0,0.05784,0.94216,0,-0.59512
CLE Browns,UNDER,12.5,-1000,1.1,0.9090909090909091,100000,94216,5784,0,0.94216,0.05784,0,0.036376000000000075
CLE Browns,OVER,13.5,1000,11,0.09090909090909091,100000,1968,98032,0,0.01968,0.98032,0,-0.78352
CLE Browns,UNDER,13.5,-3500,1.02857143,0.9722222208719137,100000,98032,1968,0,0.98032,0.01968,0,0.008329144257599955
DAL Cowboys,OVER,5.5,-3500,1.02857143,0.9722222208719137,100000,96681,3319,0,0.96681,0.03319,0,-0.005566855761700042
DAL Cowboys,UNDER,5.5,1000,11,0.09090909090909091,100000,3319,96681,0,0.03319,0.96681,0,-0.63491
DAL Cowboys,OVER,6.5,-1100,1.0909091,0.9166666590277779,100000,91849,8151,0,0.91849,0.08151,0,0.0019890992589999684
DAL Cowboys,UNDER,6.5,700,8,0.125,100000,8151,91849,0,0.08151,0.91849,0,-0.34792
DAL Cowboys,OVER,7.5,-650,1.15384616,0.8666666620444444,100000,83248,16752,0,0.83248,0.16752,0,-0.03944614872319996
